Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062900200306D2LKWIDG-01,MAC-MAC,BDO-BJR,1
11398224,26062900200306D2LKWIDG-02,MAC-MAC,BDO-BJR,1
11398224,26062900200306D2LKWIDG-DO,BDO-BJR,MAC-KD5,1
11398224,26062900200306GBIYJSWYGQ-01,MAC-MAC,BDO-BJR,1
11398224,26062900200306GBIYJSWYGQ-02,MAC-MAC,BDO-BJR,1
11398224,26062900200306GBIYJSWYGQ-DO,BDO-BJR,MAC-KD5,1
11398224,26062900200306PVKJFAIFVW-01,MAC-MAC,BDO-BJR,1
11398224,26062900200306PVKJFAIFVW-02,MAC-MAC,BDO-BJR,1
11398224,26062900200306PVKJFAIFVW-DO,BDO-BJR,MAC-KD5,1
11398224,26062900200306QE07F30TM-01,MAC-MAC,BDO-BJR,1
11398224,26062900200306QE07F30TM-DO,BDO-BJR,MAC-KD5,1
11398224,26062900401211ARDWPGYTF0-01,MAC-MAC,BDO-PWA,1
11398224,26062900401211ARDWPGYTF0-DO,BDO-BDO,MAC-KD5,1
11398224,26062900401211F3SJUQM85-01,MAC-MAC,BDO-PWA,1
11398224,26062900401211F3SJUQM85-DO,BDO-BDO,MAC-KD5,1
11398224,26062900401211YF4VA3LHK-01,MAC-MAC,BDO-PWA,1
11398224,26062900401211YF4VA3LHK-DO,BDO-BDO,MAC-KD5,1
11398224,26062901234001M0LSCRH7-01,SUB-SUB,SOC-NGW,1
11398224,26062901234001M0LSCRH7-DO,SOC-SOC,SUB-NWE,1
11398224,26062901234001WLI6RLX9-01,SUB-SUB,SOC-NGW,1
11398224,26062901234001WLI6RLX9-02,SUB-SUB,SOC-NGW,1
11398224,26062901234001WLI6RLX9-DO,,SUB-NWE,1
11398224,260629012831020N7IUFN2QV-01,MAC-MAC,MAC-KRL,1
11398224,260629012831020N7IUFN2QV-DO,MAC-KRL,MAC-KD5,1
11398224,26062901283102CHDGERBPQ-01,MAC-MAC,MAC-KRL,1
